iata;type;name;coordinates;timezone;parent_name;City
PNB;city;Porto Nacional;-10.7075296:-48.414268;America/Araguaina;Brazil;Porto Nacional
DOI;city;Doini;-10.709665:150.710918;Europe/Vilnius;Papua New Guinea;Doini
KWZ;city;Kolwezi;-10.7166667:25.4666667;Africa/Lubumbashi;Democratic Republic of the Congo;Kolwezi
PBN;city;Porto Amboim;-10.72:13.77;Africa/Luanda;Angola;Porto Amboim
UAL;city;Luau;-10.72:22.23;Africa/Luanda;Angola;Luau
SCZ;city;Santa Cruz Island;-10.7245728:165.9230976;Pacific/Guadalcanal;Solomon Islands;Santa Cruz Island
RTI;city;Roti;-10.73:123.07;Asia/Makassar;Indonesia;Roti
XMI;city;Masasi;-10.73:38.77;Africa/Dar_es_Salaam;Tanzania;Masasi
LMZ;city;Palma;-10.75:40.47;Africa/Maputo;Mozambique;Palma
GJM;city;Guajara-Mirim;-10.7909259:-65.332216;America/Porto_Velho;Brazil;Guajara-Mirim
NAZ;city;Star Habour;-10.8088044:162.2630262;;Solomon Islands;Star Habour
GYA;city;Guayaramerin;-10.8237579:-65.3688335;America/La_Paz;Bolivia;Guayaramerin
NNB;city;Santa Ana;-10.8343396:162.467236;America/El_Salvador;Solomon Islands;Santa Ana
JPR;city;Ji-Parana;-10.87:-61.85;America/Porto_Velho;Brazil;Ji-Parana
ABM;city;Bamaga;-10.88658:142.3881988;Australia/Lindeman;Australia;Bamaga
AJU;city;Aracaju;-10.9095421:-37.0747732;America/Maceio;Brazil;Aracaju
PZK;city;Puka Puka;-10.9224:-168.8398;+0.0;Cook Islands;Puka Puka
RIB;city;Riberalta;-11.0127778:-66.0572222;America/La_Paz;Bolivia;Riberalta
CIJ;city;Cobija;-11.04:-68.78;America/La_Paz;Bolivia;Cobija
NND;city;Nangade;-11.05:39.67;Africa/Maputo;Mozambique;Nangade
BQQ;city;Barra;-11.0896577:-43.1416817;America/Fortaleza;Brazil;Barra
PUR;city;Puerto Rico;-11.1033:-67.5547;America/La_Paz;Bolivia;Puerto Rico
MNS;city;Mansa;-11.14:28.88;Africa/Lusaka;Zambia;Mansa
SHU;city;Smith Point;-11.15:132.15;Australia/Perth;Australia;Smith Point
NDD;city;Sumbe;-11.17:13.85;Africa/Luanda;Angola;Sumbe
CKI;city;Croker Island;-11.1764219:132.5313457;Australia/Darwin;Australia;Croker Island
JCM;city;Jacobina;-11.1854516:-40.5360789;America/Maceio;Brazil;Jacobina
JUA;city;Juara;-11.2553463:-57.5203829;America/Cuiaba;Brazil;Juara
IRE;city;Irece;-11.2999136:-41.8568178;America/Bahia;Brazil;Irece
BNY;city;Bellona;-11.300298:159.7942195;Pacific/Guadalcanal;Solomon Islands;Bellona
TGL;city;Tagula;-11.33:153.2;Pacific/Port_Moresby;Papua New Guinea;Tagula
MZB;city;Mocimboa Praia;-11.36:40.35;Africa/Maputo;Mozambique;Mocimboa Praia
JIA;city;Juina;-11.3810827:-58.7390253;America/Rio_Branco;Brazil;Juina
GPN;city;Garden Point;-11.4032267:130.4212433;Australia/Perth;Australia;Garden Point
IBP;city;Iberia;-11.41:-69.49;America/Lima;Peru;Iberia
PAW;city;Pambwa;-11.42:154.03;Pacific/Port_Moresby;Papua New Guinea;Pambwa
SNB;city;Snake Bay;-11.4235692:130.6515147;Australia/Darwin;Australia;Snake Bay
CEO;city;Waco Kungo;-11.43:15.1;Africa/Luanda;Angola;Waco Kungo
ZZU;city;Mzuzu;-11.44:34.01;Africa/Blantyre;Malawi;Mzuzu
ANL;city;Andulo;-11.47:16.7;Africa/Luanda;Angola;Andulo
IDO;city;Santa Isabel Do Morro;-11.57:-50.67;America/Araguaina;Brazil;Santa Isabel Do Morro
